fecha,abrir,max,min,cerrar,cierre_ajustado,volumen
9 may 2025,11735,11823,11521,11665,11665,132684400
8 may 2025,11825,11868,11585,11737,11737,198428100
7 may 2025,11305,11768,11228,11706,11706,206758800
6 may 2025,11148,11474,11082,11354,11354,158525600
5 may 2025,11291,11467,11266,11382,11382,133163200
2 may 2025,11418,11540,11337,11450,11450,190194800
1 may 2025,11308,11494,11130,11161,11161,236121500
30 abr 2025,10447,10892,10408,10892,10892,235044600
29 abr 2025,10767,11020,10744,10902,10902,170444300
28 abr 2025,10969,11037,10602,10873,10873,207708500
25 abr 2025,10685,11192,10573,11101,11101,251064700
24 abr 2025,10348,10654,10311,10643,10643,220815000
23 abr 2025,10452,10480,10202,10271,10271,247526000
22 abr 2025,9878,9981,9728,9889,9889,241004800
21 abr 2025,9877,9944,9504,9691,9691,288501100
17 abr 2025,10445,10447,10005,10149,10149,290833400
16 abr 2025,10455,10679,10045,10449,10449,397016900
15 abr 2025,11097,11362,11050,11220,11220,228966900
14 abr 2025,11411,11429,10907,11071,11071,264705000
11 abr 2025,10850,11155,10748,11093,11093,313417300
10 abr 2025,10937,11086,9915,10757,10757,437812400
9 abr 2025,9889,11510,9753,11433,11433,612918300
8 abr 2025,10381,10585,9446,9630,9630,476243400
7 abr 2025,8746,10175,8662,9764,9764,611041300
4 abr 2025,9891,10013,9211,9431,9431,532273800
3 abr 2025,10351,10563,10160,10180,10180,338769400
2 abr 2025,10729,11198,10679,11042,11042,220601200
1 abr 2025,10852,11020,10647,11015,11015,222614000
31 mar 2025,10513,11096,10365,10838,10838,299212700
28 mar 2025,11149,11287,10907,10967,10967,229872500
27 mar 2025,11135,11445,11066,11143,11143,236902100
26 mar 2025,11873,11884,11271,11376,11376,293463300
25 mar 2025,12055,12129,11892,12069,12069,167447200
24 mar 2025,11988,12222,11934,12141,12141,228452500
21 mar 2025,11694,11799,11542,11770,11770,266498500
20 mar 2025,11655,12020,11647,11853,11853,248829700
19 mar 2025,11727,12045,11568,11752,11752,273426200
18 mar 2025,11800,11902,11454,11543,11543,299686900
17 mar 2025,12274,12289,11803,11953,11953,255501500
14 mar 2025,11861,12188,11815,12167,12167,277593500
13 mar 2025,11703,11776,11379,11558,11558,299033100
12 mar 2025,11412,11676,11288,11574,11574,323857500
11 mar 2025,10699,11224,10477,10876,10875,354865700
10 mar 2025,10990,11185,10546,10698,10697,366487400
7 mar 2025,11125,11348,10756,11269,11268,341755500
6 mar 2025,11353,11535,11022,11057,11056,321181900
5 mar 2025,11758,11828,11451,11730,11729,284337900
4 mar 2025,11065,11931,11011,11599,11598,398163300
3 mar 2025,12351,12370,11228,11406,11405,411381400
28 feb 2025,11802,12509,11640,12492,12491,389091100
27 feb 2025,13500,13501,12001,12015,12014,443175800
26 feb 2025,12999,13373,12849,13128,13127,322553800
25 feb 2025,12998,13020,12444,12663,12662,271428700
24 feb 2025,13656,13859,13008,13028,13027,251381100
21 feb 2025,14004,14146,13403,13443,13442,228217600
20 feb 2025,14003,14066,13679,14011,14010,143903600
19 feb 2025,13951,14136,13722,13923,13922,167536000
18 feb 2025,14127,14344,13793,13940,13939,219176600
14 feb 2025,13648,13925,13550,13885,13884,195479600
13 feb 2025,13156,13650,13117,13529,13528,197430000
